Update: 123, Reward_mean: -0.34280706771918906, Loss: [0.0004782266914844513]
Update: 124, Reward_mean: -0.3448644632304816, Loss: [0.07553653419017792]
Update: 125, Reward_mean: -0.13713751057971427, Loss: [0.11515229940414429]
Update: 126, Reward_mean: -0.2196325599019461, Loss: [0.09882119297981262]
Update: 127, Reward_mean: -0.18795931589318624, Loss: [0.0662045106291771]
Update: 128, Reward_mean: -0.19479722758313955, Loss: [0.12046803534030914]
Update: 129, Reward_mean: -0.3429587092453027, Loss: [0.0007884278893470764]
Update: 130, Reward_mean: -0.37439476806089106, Loss: [0.003357134759426117]
Update: 131, Reward_mean: -0.23722099591399393, Loss: [0.05127139762043953]
Update: 132, Reward_mean: -0.28892658673019583, Loss: [-0.03292108699679375]
Update: 133, Reward_mean: -0.1409180736979628, Loss: [0.07708465307950974]
Update: 134, Reward_mean: -0.29070081127164366, Loss: [-0.0049758777022361755]
Update: 135, Reward_mean: -0.30722342030782285, Loss: [0.004068110138177872]
Update: 136, Reward_mean: -0.24568148193058226, Loss: [0.15446673333644867]
Update: 137, Reward_mean: -0.3850073312036471, Loss: [0.09188929200172424]
Update: 138, Reward_mean: -0.30968602425752983, Loss: [0.038657836616039276]
Update: 139, Reward_mean: -0.08353140907495815, Loss: [0.1089496910572052]
Update: 140, Reward_mean: -0.29027051700936335, Loss: [0.03207821771502495]
Update: 141, Reward_mean: -0.25765681668708224, Loss: [0.046368010342121124]
Update: 142, Reward_mean: -0.18565726523109982, Loss: [-0.005958523601293564]
Update: 143, Reward_mean: -0.2142500921481127, Loss: [0.06370910257101059]
Update: 144, Reward_mean: -0.27000810803116704, Loss: [0.007358403876423836]
Update: 145, Reward_mean: -0.22671394006463613, Loss: [0.06037098914384842]
Update: 146, Reward_mean: -0.1630674952034423, Loss: [0.05576474592089653]
Update: 147, Reward_mean: -0.3698656238815902, Loss: [0.023288898169994354]
Update: 148, Reward_mean: -0.2834836494798271, Loss: [0.09764686226844788]
Update: 149, Reward_mean: -0.02908121716452065, Loss: [0.06914898753166199]
Update: 150, Reward_mean: -0.22757909317005268, Loss: [-0.008177127689123154]
Update: 151, Reward_mean: -0.2915292628604083, Loss: [0.01981966570019722]
Update: 152, Reward_mean: -0.134571817638546, Loss: [0.10212640464305878]
Update: 153, Reward_mean: -0.0891747458736607, Loss: [0.07795768976211548]
Update: 154, Reward_mean: -0.41692773920331216, Loss: [-0.05065857991576195]
Update: 155, Reward_mean: -0.09293178715245469, Loss: [0.14067307114601135]
Update: 156, Reward_mean: -0.39173463481697673, Loss: [-0.03208435699343681]
Update: 157, Reward_mean: -0.3599929650790311, Loss: [0.006456708535552025]
Update: 158, Reward_mean: -0.14026657774936457, Loss: [0.05819759517908096]
Update: 159, Reward_mean: -0.24095341402232573, Loss: [-0.0018422901630401611]
Update: 160, Reward_mean: -0.23271915434895254, Loss: [-0.024095769971609116]
